"object_code","alias"
9202,"µm/m"
1041,"µm/m/a"
9109,"µrad"
1031,"0.001 seca"
9003,"American foot"
9102,"angular degree"
9114,"angular mil"
1031,"angular millisecond"
9103,"angular minute"
9104,"angular second"
9097,"ch"
9209,"Bin12.5m"
9205,"Bin165ftUS"
9208,"Bin25m"
9211,"Bin3.125m"
9204,"Bin330ftUS"
9207,"Bin37.5m"
9210,"Bin6.25m"
9206,"Bin82.5ftUS"
9112,"c"
9113,"cc"
9113,"ccgr"
9112,"centesimal-minute"
9113,"centesimal-second"
1033,"centimeter"
1034,"centimeters per year"
9112,"cgr"
9097,"chain"
9301,"chain"
9062,"chain"
9042,"chain"
9052,"chain"
9052,"chain[BnA]"
9062,"chain[BnB]"
9038,"chain[Cla]"
9042,"chain[Se]"
9301,"chain[SeT]"
9033,"chain[US]"
9052,"chBnA"
9062,"chBnB"
9038,"chCla"
9042,"chSe"
9301,"chSe(T)"
9033,"chUS"
9038,"Clarke chain"
9005,"Clarke foot"
9039,"Clarke link"
9037,"Clarke yard"
1033,"cm"
1034,"cm/a"
1034,"cm/yr"
9111,"DDD.MMm"
9110,"DDD.MMSSsss"
9121,"DDDMMSS.sss"
9122,"deg"
9102,"deg"
9102,"dega"
9116,"degH"
9115,"DM"
9118,"DMH"
9107,"DMS"
9108,"DMSH"
9201,"euc"
9201,"euclid"
9014,"f"
9014,"fathom"
9095,"foot"
9051,"foot"
9061,"foot"
9041,"foot"
9094,"foot"
9070,"foot"
9300,"foot"
9002,"ft"
9051,"ft[BnA]"
9061,"ft[BnB]"
9095,"ft[Br36]"
9070,"ft[Br65]"
9005,"ft[Cla]"
9094,"ft[GC]"
9080,"ft[Ind]"
9081,"ft[Ind37]"
9082,"ft[Ind62]"
9083,"ft[Ind75]"
9041,"ft[Se]"
9300,"ft[SeT]"
9003,"ft[US]"
9051,"ftBnA"
9061,"ftBnB"
9095,"ftBr(36)"
9070,"ftBr(65)"
9005,"ftCla"
9094,"ftGC"
9080,"ftInd"
9081,"ftInd(37)"
9082,"ftInd(62)"
9083,"ftInd(75)"
9041,"ftSe"
9300,"ftSe(T)"
9003,"ftUS"
9106,"g"
9031,"GLM"
9105,"gon"
9105,"gon"
9106,"gon"
9105,"gr"
9117,"Hdeg"
9119,"HDM"
9120,"HDMS"
9080,"Indian geodetic foot"
9081,"Indian geodetic foot"
9097,"international chain"
9014,"international fathom"
9002,"international foot"
9098,"international link"
9001,"International metre"
9030,"International nautical mile"
9096,"international yard"
9036,"kilometer"
9036,"km"
9302,"link"
9063,"link"
9043,"link"
9053,"link"
9098,"link"
9039,"link (Clarke's ratio)"
9053,"link[BnA]"
9063,"link[BnB]"
9039,"link[Cla]"
9043,"link[Se]"
9302,"link[SeT]"
9034,"link[US]"
9098,"lk"
9053,"lkBnA"
9063,"lkBnB"
9039,"lkCla"
9043,"lkSe"
9302,"lkSe(T)"
9034,"lkUS"
9001,"m"
1042,"m/a"
1026,"m/s"
1042,"m/yr"
9031,"m[Ger]"
1031,"mas"
1032,"mas/yr"
9001,"meter"
1026,"meter per second"
1042,"meters per year"
1026,"metres per second"
9093,"mi"
9030,"mi[naut]"
9035,"mi[US]"
9114,"mil"
9114,"mila"
9093,"mile"
1025,"millimeter"
1027,"millimeters per year"
9103,"min"
9103,"mina"
9035,"miUS"
1025,"mm"
1027,"mm/a"
1027,"mm/yr"
1031,"msec"
1032,"msec/a"
1032,"msec/yr"
9030,"NM"
1028,"nm/m"
1030,"nm/m/a"
1028,"ppb"
1030,"ppb/a"
1030,"ppb/yr"
9202,"ppm"
1041,"ppm/a"
1041,"ppm/yr"
9101,"rad"
1035,"rad/s"
1035,"radians per second"
1040,"s"
9104,"sec"
1043,"sec/a"
1043,"sec/yr"
9104,"seca"
9111,"sexagesimal degree DDD.MMm"
9110,"sexagesimal degree DDD.MMSSsss"
9121,"sexagesimal degree DDDMMSS.sss"
9005,"South African geodetic foot"
9109,"urad"
9099,"yard"
9040,"yard"
9060,"yard"
9050,"yard"
9084,"yard"
9085,"yard"
9096,"yd"
9050,"yd[BnA]"
9060,"yd[BnB]"
9037,"yd[Cla]"
9084,"yd[Ind]"
9085,"yd[Ind37]"
9086,"yd[Ind62]"
9087,"yd[Ind75]"
9040,"yd[Se]"
9099,"yd[SeT]"
9050,"ydBnA"
9060,"ydBnB"
9037,"ydCla"
9084,"ydInd"
9085,"ydInd(37)"
9086,"ydInd(62)"
9087,"ydInd(75)"
9040,"ydSe"
9099,"ydSe(T)"
